Name,Tc (K),Source,Page
CuCr2S4,420.0,2,5
CuCr2S4,378.0,2,5
CuCr2Se2S2,360.0,2,5
CuCr2Se3.2Br0.8,300.0,2,5
CuCr2Se3.8Br0.2,400.0,2,5
CuCr2Se3Br,274.0,2,5
CuCr2Se3Br,354.0,2,5
CuCr2Se3Cl,383.0,2,5
CuCr2Se3S,393.0,2,5
CuCr2Se4,433.0,2,5
CuCr2Se4,460.0,2,5
CuCr2Se4,432.0,2,5
CuCr2Se4,429.0,2,5
CuCr2Se4,414.5,2,5
CuCr2Se4,460.0,2,6
CuCr2Se4,433.0,2,5
CuCr2SeS3,353.0,2,5
CuCr2Te3Br,282.0,2,5
CuCr2Te3I,281.0,2,5
CuCr2Te3I,294.0,2,5
CuCr2Te4,365.0,2,5
CuCr2Te4,344.6,2,5
CuCr2Te4,329.0,2,5
CuCrMnO4,45.0,2,5
CuCrRh0.6Sn0.4Se4,140.0,2,5
CuCrRhSe4,270.0,2,5
CuCrRhSe4,255.0,2,5
CuCrS3.8Cl0.2,370.0,2,5
CuCrS3Cl,218.0,2,5
CuFe1.8Ga0.2O4,681.0,2,5
CuFe1.8Ga0.2O4,679.0,2,5
CuFe2O4,725.0,4 V8,212
CuFe2O4,743.0,2,6
CuFe2O4,775.0,4 V8,212
CuFe2O4,768.0,2,6
CuFe2O4,723.0,2,6
CuFe2O4,718.0,2,6
CuFeGaO4,313.0,2,5
CuFeGaO4,409.0,2,5
CuMg0.5Mn1.5O4,57.0,2,6
CuMn2O4,25.0,2,6
CuMnSb,55.0,4 V4,279
CuNi0.5Mn1.5O4,150.0,2,6
CuRh0.5Cr1.5Se4,350.0,2,6
CuRh1.6Cr0.4Se4,50.0,2,6
CuRh1.8Cr0.2Se4,15.0,2,6
CuRh1.9Cr0.1Se4,5.0,2,6
CuRh2O4,830.0,2,6
CuRhCrSe4,220.0,2,6
CuRhMnO4,35.0,2,6
CuV0.25Cr1.75S4,267.0,2,6
CuV0.75Cr1.25S4,46.0,2,6
CuV1.75Cr0.25S4,8.0,2,6
Dy,85.0,2,6
Dy,85.0,2,6
Dy,87.0,2,6
Dy,85.0,1,375
Dy,87.0,2,6
Dy,87.0,2,6
Dy,108.0,2,6
Dy,179.0,1,375
Dy,84.7,2,6
Dy,77.0,2,6
Dy(OH)3,3.5,2,7
Dy0.2Nd0.8Co2,100.0,4 V12,331
Dy0.2Pr0.8Co2,69.0,4 V12,331
Dy0.4Nd0.6Co2,105.0,4 V12,331
Dy0.4Pr0.6Co2,78.0,4 V12,331
Dy0.5Nd0.5Co2,110.0,4 V12,331
Dy0.5Y0.5Fe2,590.0,2,7
Dy0.6Er0.4Al2,49.0,2,7
Dy0.6Nd0.4Co2,115.0,4 V12,331
Dy0.6Pr0.4Co2,95.0,4 V12,331
Dy0.7Fe0.3,108.0,4 V12,507
Dy0.7Ni0.3,35.0,4 V12,507
Dy0.8Nd0.2Co2,125.0,4 V12,331
Dy0.8Pr0.2Co2,115.0,4 V12,331
Dy0.8Y0.2Fe2,618.0,2,7
Dy1.15Fe4B4,11.5,4 V4,31
Dy1.3Cd,105.0,2,7
Dy2Co12P7,152.0,4 V6,70
Dy2Co17,1152.0,2,7
Dy2Co17,1189.0,2,7
Dy2Co7,647.0,2,7
Dy2CrSbO7,16.0,2,7
Dy2Fe14B,598.0,4 V10,506
Dy2Fe14B,593.0,4 V4,20
Dy2Fe14B,585.0,4 V6,545
Dy2Fe14BH4.6,638.0,4 V6,545
Dy2Fe14C,545.0,4 V4,26
Dy2Fe14C,555.0,4 V10,530
Dy2Fe14C,555.0,4 V6,60
Dy2Fe17,367.0,4 V9,318
Dy2Fe17,395.0,3,NA
Dy2Fe17,364.0,3,NA
Dy2Fe17,380.0,2,7
Dy2Fe17,360.0,3,NA
Dy2Fe17,362.0,2,7
Dy2Fe17,363.0,2,7
Dy2Fe17,370.0,3,NA
Dy2Fe17,370.0,4 V7,461
Dy2Fe17,371.0,4 V7,382
Dy2Fe17,370.0,4 V8,142
Dy2Fe17,380.0,3,NA
Dy2Fe17,395.0,3,NA
Dy2Fe17,395.0,3,NA
Dy2Fe17C,515.0,4 V6,48
Dy2Fe17C,515.0,4 V9,322
Dy2Fe17C1.0,515.0,4 V8,142
Dy2Fe17C2,683.0,4 V9,318
Dy2Fe17C2.5,681.0,4 V9,318
Dy2Fe17C2.7,733.0,4 V9,318
Dy2Fe17N2.5,720.0,4 V9,318
Dy2Fe17N2.8,725.0,4 V6,48
Dy2Fe17N2.8,725.0,4 V9,318
Dy2In,143.0,3,NA
Dy2Ni17,168.0,2,7
Dy2Ni17,170.0,3,NA
Dy2Ni17,604.0,2,7
Dy2Ni7,81.0,2,7
Dy2Pt,66.0,3,NA
Dy3Al0.5Fe4.5O12,490.0,2,7
Dy3Al2,76.0,2,7
Dy3Al2,105.0,2,7
Dy3Fe5O12,552.0,2,7
Dy3Fe5O12,551.4,2,7
Dy3Fe5O12,563.0,2,7
Dy3Fe5O12,563.0,2,7
Dy3Ga0.25Fe4.75O12,520.0,2,7
Dy3In,138.0,3,NA
Dy3Pd2,27.0,3,NA
Dy3Rh2,18.0,3,NA
Dy3Rh2,18.0,3,NA
Dy4Co3,55.0,2,7
Dy5.07Pd1.93,25.0,5,15
Dy5.07Pd1.93,25.0,2,7
Dy5Si4,140.0,2,7
Dy6Fe23,524.0,2,7
Dy6Fe23,545.0,3,NA
